insee_code,name
80001,Abbeville
47001,Agen
13001,Aix-en-Provence
2A004,Ajaccio
73011,Albertville
81004,Albi
61001,Alençon
68004,Altkirch
30007,Alès
63003,Ambert
80021,Amiens
44003,Ancenis-St-Géréon
49007,Angers
16015,Angoulême
74010,Annecy
92002,Antony
84003,Apt
33009,Arcachon
65025,Argelès-Gazost
61006,Argentan
95018,Argenteuil
13004,Arles
62041,Arras
23008,Aubusson
32013,Auch
15014,Aurillac
71014,Autun
89024,Auxerre
89025,Avallon
59036,Avesnes-sur-Helpe
84007,Avignon
50025,Avranches
65059,Bagnères-de-Bigorre
55029,Bar-le-Duc
10033,Bar-sur-Aube
04019,Barcelonnette
2B033,Bastia
14047,Bayeux
64102,Bayonne
21054,Beaune
60057,Beauvais
90010,Belfort
87011,Bellac
01034,Belley
24037,Bergerac
27056,Bernay
25056,Besançon
33058,Blaye
41018,Blois
93008,Bobigny
74042,Bonneville
33063,Bordeaux
92012,Boulogne-Billancourt
62160,Boulogne-sur-Mer
01053,Bourg-en-Bresse
18033,Bourges
79049,Bressuire
29019,Brest
05023,Briançon
83023,Brignoles
43040,Brioude
19031,Brive-la-Gaillarde
62119,Béthune
34032,Béziers
14118,Caen
46042,Cahors
62193,Calais
2B050,Calvi
59122,Cambrai
11069,Carcassonne
84031,Carpentras
04039,Castellane
82033,Castelsarrasin
81065,Castres
95127,Cergy
71076,Chalon-sur-Saône
73065,Chambéry
08105,Charleville-Mézières
71106,Charolles
28085,Chartres
52121,Chaumont
50129,Cherbourg-en-Cotentin
37072,Chinon
49099,Cholet
51108,Châlons-en-Champagne
58062,Château-Chinon
53062,Château-Gontier-sur-Mayenne
02168,Château-Thierry
44036,Châteaubriant
28088,Châteaudun
29026,Châteaulin
36044,Châteauroux
86066,Châtellerault
58079,Clamecy
60157,Clermont
63113,Clermont-Ferrand
16102,Cognac
68066,Colmar
55122,Commercy
60159,Compiègne
32107,Condom
16106,Confolens
2B096,Corte
58086,Cosne-Cours-sur-Loire
50147,Coutances
94028,Créteil
66049,Céret
40088,Dax
26113,Die
76217,Dieppe
04070,Digne-les-Bains
21231,Dijon
22050,Dinan
39198,Dole
59178,Douai
83050,Draguignan
28134,Dreux
59183,Dunkerque
46102,Figeac
48061,Florac Trois Rivières
09122,Foix
77186,Fontainebleau
85092,Fontenay-le-Comte
57227,Forbach
04088,Forcalquier
35115,Fougères
05061,Gap
01173,Gex
46127,Gourdon
06069,Grasse
38185,Grenoble
22070,Guingamp
23096,Guéret
67180,Haguenau
63178,Issoire
36088,Issoudun
13047,Istres
17197,Jonzac
94038,L'Haÿ-les-Roses
36046,La Châtre
72154,La Flèche
85191,La Roche-sur-Yon
17300,La Rochelle
38509,La Tour-du-Pin
97230,La Trinité
33227,Langon
52269,Langres
22113,Lannion
02408,Laon
07132,Largentière
53130,Laval
36018,Le Blanc
76351,Le Havre
72181,Le Mans
97217,Le Marin
43157,Le Puy-en-Velay
93062,Le Raincy
30350,Le Vigan
62498,Lens
27016,Les Andelys
85194,Les Sables-d'Olonne
33240,Lesparre-Médoc
33243,Libourne
59350,Lille
87085,Limoges
11206,Limoux
14366,Lisieux
37132,Loches
34142,Lodève
39300,Lons-le-Saunier
56121,Lorient
71263,Louhans
54329,Lunéville
70310,Lure
69123,Lyon
72180,Mamers
78361,Mantes-la-Jolie
47157,Marmande
13055,Marseille
15120,Mauriac
53147,Mayenne
77284,Meaux
77288,Melun
48095,Mende
57463,Metz
12145,Millau
32256,Mirande
67300,Molsheim
40192,Mont-de-Marsan
45208,Montargis
82121,Montauban
21425,Montbard
42147,Montbrison
25388,Montbéliard
80561,Montdidier
03185,Montluçon
86165,Montmorillon
34172,Montpellier
62588,Montreuil
29151,Morlaix
61293,Mortagne-au-Perche
03190,Moulins
68224,Mulhouse
31395,Muret
71270,Mâcon
54395,Nancy
92050,Nanterre
44109,Nantes
01269,Nantua
11262,Narbonne
88321,Neufchâteau
58194,Nevers
06088,Nice
79191,Niort
28280,Nogent-le-Rotrou
94052,Nogent-sur-Marne
10268,Nogent-sur-Seine
24311,Nontron
26220,Nyons
47195,Nérac
30189,Nîmes
64422,Oloron-Sainte-Marie
45234,Orléans
91477,Palaiseau
09225,Pamiers
75056,Paris
79202,Parthenay
64445,Pau
66136,Perpignan
45252,Pithiviers
97120,Pointe-à-Pitre
86194,Poitiers
25462,Pontarlier
56178,Pontivy
95500,Pontoise
66149,Prades
07186,Privas
77379,Provins
24322,Périgueux
80620,Péronne
29232,Quimper
78517,Rambouillet
35236,Redon
51454,Reims
35238,Rennes
08362,Rethel
63300,Riom
42187,Roanne
87126,Rochechouart
17299,Rochefort
12202,Rodez
41194,Romorantin-Lanthenay
76540,Rouen
18197,Saint-Amand-Montrond
97410,Saint-Benoît
22278,Saint-Brieuc
39478,Saint-Claude
93066,Saint-Denis
52448,Saint-Dizier
88413,Saint-Dié-des-Vosges
15187,Saint-Flour
31483,Saint-Gaudens
78551,Saint-Germain-en-Laye
09261,Saint-Girons
17347,Saint-Jean-d'Angély
73248,Saint-Jean-de-Maurienne
74243,Saint-Julien-en-Genevois
97311,Saint-Laurent-du-Maroni
50502,Saint-Lô
35288,Saint-Malo
44184,Saint-Nazaire
62765,Saint-Omer
97415,Saint-Paul
97416,Saint-Pierre
02691,Saint-Quentin
42218,Saint-Étienne
51507,Sainte-Menehould
17415,Saintes
95585,Sarcelles
24520,Sarlat-la-Canéda
57630,Sarrebourg
57631,Sarreguemines
2A272,Sartène
49328,Saumur
67437,Saverne
08409,Sedan
49331,Segré-en-Anjou Bleu
60612,Senlis
89387,Sens
02722,Soissons
67482,Strasbourg
67462,Sélestat
65440,Tarbes
68334,Thann
63430,Thiers
57672,Thionville
74281,Thonon-les-Bains
77468,Torcy
54528,Toul
83137,Toulon
31555,Toulouse
07324,Tournon-sur-Rhône
37261,Tours
10387,Troyes
19272,Tulle
19275,Ussel
54099,Val de Briey
26362,Valence
59606,Valenciennes
56260,Vannes
41269,Vendôme
55545,Verdun
78646,Versailles
02789,Vervins
70550,Vesoul
03310,Vichy
38544,Vienne
18279,Vierzon
12300,Villefranche-de-Rouergue
69264,Villefranche-sur-Saône
47323,Villeneuve-sur-Lot
14762,Vire Normandie
51649,Vitry-le-François
08490,Vouziers
43268,Yssingeaux
51230,Épernay
88160,Épinal
91223,Étampes
27229,Évreux
91228,Évry-Courcouronnes
