,Territoire,Dentiste,Dermatologue,Généraliste,Gynécologue,Ophtalmologue,Pédiatre,Rang sur 314,Hôtels_de_tourisme_(en_milliers_de_nuitées,Campings (en_milliers_de_nuitées),Département,Superficie,Population,Densité,Classement,precipitation,ensoleillement,temperature,part_60_et_plus_2018,revenu_disp_par_UC_2018
33243,Libourne,,203.0,5.0,265.0,8.0,117.0,107.0,4665,5280 ,Gironde,9976,1566679,157.04480753809142,560,,,,28.1,19480.0
59350,Lille,131.0,155.0,5.0,38.0,66.0,24.0,80.0,3868,317 ,Nord,5743,2603723,453.3733240466655,91,742.5,1617.5,10.8,14.3,19320.0
87085,Limoges,120.0,57.0,6.0,134.0,292.0,106.0,164.0,706,211 ,Haute-Vienne,5520,374978,67.93079710144927,26,,,,27.1,19460.0
11206,Limoux,26.0,83.0,6.0,,117.0,,98.0,1 111,1557 ,Aude,6139,368025,59.94868871151653,2042,647.7,,13.2,36.8,18950.0
14366,Lisieux,183.0,58.0,8.0,24.0,225.0,110.0,148.0,3 556,2163 ,Calvados,5548,693679,125.03226387887528,311,,,,30.7,17980.0
37132,Loches,189.0,230.0,28.0,24.0,134.0,123.0,220.0,1885,689 ,Indre-et-Loire,6127,606223,98.94287579565857,1245,,,,41.5,19810.0
34142,Lodève,99.0,77.0,7.0,2.0,38.0,97.0,115.0,3308,9364 ,Hérault,6101,1132481,185.62219308310117,4145,,,,33.9,16560.0
39300,Lons-le-Saunier,103.0,118.0,8.0,78.0,269.0,184.0,178.0,508,1115 ,Jura,4999,260517,52.11382276455291,162,1189.5,1910.3,11.3,32.8,19650.0
56121,Lorient,22.0,117.0,2.0,168.0,78.0,45.0,28.0,1876,4 604 ,Morbihan,6823,747548,109.5629488494797,5,950.9,1827.2,12.0,27.9,19430.0
71263,Louhans,172.0,,29.0,53.0,447.0,,301.0,1453,553 ,Saône-et-Loire,8575,555023,64.72571428571429,2009,,,,41.1,19740.0
54329,Lunéville,26.0,97.0,86.0,59.0,237.0,187.0,151.0,1037,100 ,Meurthe-et-Moselle,5246,733821,139.88200533739993,564,,,,28.5,18150.0
70310,Lure,148.0,278.0,8.0,134.0,92.0,78.0,215.0,142,139 ,Haute-Saône,5360,237242,44.26156716417911,1405,,,,29.0,18430.0
69123,Lyon,59.0,144.0,5.0,72.0,26.0,36.0,75.0,5831,230 ,Rhône,217527,27657040,127.14302132608826,56,831.9,2001.9,12.5,18.9,23890.0
71270,Mâcon,41.0,149.0,8.0,106.0,108.0,116.0,85.0,1453,553 ,Saône-et-Loire,8575,555023,64.72571428571429,299,859.3,1881.9,11.8,27.2,18330.0
72180,Mamers,126.0,,8.0,,222.0,,294.0,894,322 ,Sarthe,6206,567561,91.45359329680954,2673,,,,38.5,18360.0
78361,Mantes-la-Jolie,17.0,105.0,3.0,97.0,142.0,6.0,10.0,2516,281 ,Yvelines,2284,1431808,626.8861646234676,324,,,,19.5,16410.0
47157,Marmande,149.0,,4.0,26.0,106.0,,134.0,394,365 ,Lot-et-Garonne,5361,332833,62.08412609587764,430,,,,34.6,18800.0
13055,Marseille,118.0,135.0,3.0,63.0,115.0,39.0,31.0,6724,1689 ,Bouches-du-Rhône,5087,2019717,397.03499115392174,21,515.4,2857.8,15.5,24.5,19010.0
15120,Mauriac,110.0,78.0,26.0,,239.0,,261.0,445,337 ,Cantal,5726,145969,25.49231575270695,3566,1200.5,,10.4,41.8,19930.0
53147,Mayenne,166.0,175.0,20.0,141.0,213.0,,287.0,296,93 ,Mayenne,5175,307688,59.456618357487926,718,,,,34.3,21070.0
77284,Meaux,19.0,140.0,2.0,26.0,30.0,156.0,20.0,9653,1038 ,Seine-et-Marne,5915,1397665,236.2916314454776,394,,,,18.0,18930.0
77288,Melun,16.0,173.0,10.0,90.0,95.0,9.0,92.0,9653,1038 ,Seine-et-Marne,5915,1397665,236.2916314454776,158,676.9,1752.5,,15.6,18080.0
48095,Mende,101.0,229.0,7.0,156.0,198.0,124.0,228.0,378,572 ,Lozère,5167,76422,14.790400619314882,236,,,,24.2,21760.0
57463,Metz,14.0,186.0,2.0,73.0,184.0,44.0,35.0,1795,284 ,Moselle,6216,1045271,168.15814028314028,18,,,,22.4,19750.0
12145,Millau,106.0,75.0,4.0,109.0,155.0,13.0,27.0,722,1080 ,Aveyron,8735,278697,31.90578133943904,419,731.6,2157.6,10.9,33.6,19660.0
32256,Mirande,70.0,,3.0,,,,296.0,221,390 ,Gers,6257,190664,30.47211123541633,4680,,,,40.1,19080.0
67300,Molsheim,13.0,93.0,6.0,89.0,240.0,119.0,78.0,4437,509 ,Bas-Rhin,4755,1121407,235.8374342797056,2052,,,,28.7,22240.0
40192,Mont-de-Marsan,105.0,77.0,2.0,60.0,89.0,2.0,28.0,1129,6866 ,Landes,9243,405010,43.818024450935845,193,916.9,1908.4,13.6,28.0,20820.0
45208,Montargis,103.0,139.0,3.0,21.0,252.0,74.0,124.0,1408,254 ,Loiret,6775,674330,99.5321033210332,584,,,,28.0,15890.0
82121,Montauban,115.0,82.0,6.0,146.0,5.0,36.0,37.0,327,187 ,Tarn-et-Garonne,3718,256897,69.09548144163529,143,711.9,2066.1,13.6,27.7,20200.0
21425,Montbard,102.0,28.0,5.0,302.0,,53.0,140.0,2 544,379 ,Côte-d'Or,8763,533213,60.848225493552434,2426,,,,38.4,18920.0
25388,Montbéliard,89.0,201.0,6.0,125.0,387.0,97.0,272.0,1082,344 ,Doubs,5234,538549,102.89434466946884,545,1121.2,,,25.5,18340.0
42147,Montbrison,139.0,165.0,57.0,3.0,81.0,187.0,204.0,709,125 ,Loire,4781,761997,159.38025517674126,506,699.0,,10.6,30.0,20830.0
80561,Montdidier,148.0,125.0,20.0,,240.0,,311.0,933,1124 ,Somme,6170,572744,92.82722852512155,3101,,,,30.5,18040.0
03185,Montluçon,26.0,174.0,84.0,121.0,179.0,79.0,181.0,860,313 ,Allier,7340,339384,46.237602179836514,319,720.0,,11.2,33.8,18650.0
86165,Montmorillon,152.0,24.0,21.0,,,119.0,267.0,1685,352 ,Vienne,6990,436069,62.38469241773963,4439,,,,43.1,20320.0
34172,Montpellier,7.0,14.0,2.0,52.0,69.0,74.0,2.0,3308,9364 ,Hérault,6101,1132481,185.62219308310117,37,629.1,2668.2,15.1,18.8,18480.0
62588,Montreuil,142.0,128.0,4.0,97.0,301.0,85.0,245.0,2555,799 ,Pas-de-Calais,6671,1470725,220.4654474591516,5430,871.9,139.0,10.8,37.6,19830.0
29151,Morlaix,129.0,223.0,19.0,164.0,316.0,24.0,252.0,1946,4445 ,Finistère,6733,908249,134.89514332392693,26,,,,30.6,19660.0
61293,Mortagne-au-Perche,165.0,,19.0,,158.0,59.0,308.0,328,111 ,Orne,6103,285308,46.7488120596428,4492,,,,37.8,19330.0
03190,Moulins,113.0,345.0,93.0,116.0,189.0,,280.0,860,313 ,Allier,7340,339384,46.237602179836514,379,779.5,1861.7,11.3,31.7,18780.0
68224,Mulhouse,76.0,142.0,2.0,99.0,13.0,63.0,25.0,2975,759 ,Haut-Rhin,3525,762743,216.3809929078014,149,,,,21.1,16100.0
31395,Muret,76.0,182.0,18.0,128.0,133.0,48.0,180.0,3129,293 ,Haute-Garonne,6309,1348183,213.69202726264064,773,,,,24.9,21280.0
54395,Nancy,34.0,88.0,2.0,25.0,99.0,148.0,16.0,1037,100 ,Meurthe-et-Moselle,5246,733821,139.88200533739993,96,846.4,,10.0,18.8,21000.0
44109,Nantes,48.0,127.0,13.0,19.0,281.0,33.0,78.0,3307,2722 ,Loire-Atlantique,6881,1380852,200.676064525505,22,,,,18.6,22600.0
01269,Nantua,155.0,,111.0,129.0,44.0,2.0,253.0,1311,592 ,Ain,5762,638425,110.79920166608817,2900,1527.0,,9.3,24.4,17490.0
11262,Narbonne,38.0,108.0,79.0,64.0,144.0,88.0,87.0,1 111,1557 ,Aude,6139,368025,59.94868871151653,27,652.3,,15.1,31.3,18620.0
47195,Nérac,154.0,,14.0,,145.0,,300.0,394,365 ,Lot-et-Garonne,5361,332833,62.08412609587764,1106,,,,37.0,20230.0
88321,Neufchâteau,51.0,82.0,22.0,80.0,124.0,,103.0,940,691 ,Vosges,5874,369641,62.92832822608104,1480,,,,32.8,19140.0
58194,Nevers,150.0,233.0,2.0,122.0,206.0,89.0,184.0,391,279 ,Nièvre,6817,209161,30.68226492592049,329,804.1,1774.0,10.9,32.3,18930.0
06088,Nice,61.0,106.0,231.0,60.0,1.0,6.0,30.0,9062,848 ,Alpes-Maritimes,4299,1083704,252.08280995580367,4,733.0,2724.2,16.0,29.7,20320.0
30189,Nîmes,30.0,178.0,5.0,336.0,132.0,82.0,152.0,1451,3420 ,Gard,5853,742006,126.77362036562448,46,762.9,2662.9,15.2,26.6,17770.0
79191,Niort,21.0,151.0,2.0,104.0,154.0,82.0,60.0,455,145 ,Deux-Sèvres,5999,374743,62.467577929654944,87,,,,27.5,21670.0
28280,Nogent-le-Rotrou,103.0,207.0,4.0,,83.0,,185.0,719,110 ,Eure-et-Loir,5880,433929,73.79744897959183,1246,,,,37.8,19980.0
10268,Nogent-sur-Seine,114.0,,76.0,,134.0,102.0,305.0,763,222 ,Aube,6004,308910,51.45069953364424,4223,,,,24.9,19370.0
24311,Nontron,23.0,46.0,5.0,63.0,174.0,,49.0,1008,3463 ,Dordogne,9060,414789,45.78245033112583,7078,,,,41.6,19810.0
26220,Nyons,237.0,111.0,14.0,108.0,116.0,130.0,310.0,1292,1731 ,Drôme,6530,508006,77.79571209800919,5485,,,,47.0,19760.0
64422,Oloron-Sainte-Marie,39.0,,7.0,65.0,119.0,,132.0,2683,2197 ,Pyrénées-Atlantiques,7645,673986,88.16036625245259,1023,,,,35.3,20190.0
45234,Orléans,38.0,170.0,9.0,132.0,77.0,100.0,257.0,1408,254 ,Loiret,6775,674330,99.5321033210332,34,642.5,1767.3,11.3,20.2,20180.0
91477,Palaiseau,36.0,31.0,8.0,73.0,1.0,,58.0,2049,143 ,Essonne,1804,1287330,713.5975609756098,99,598.3,1798.0,10.8,19.2,27190.0
09225,Pamiers,200.0,,106.0,103.0,225.0,67.0,289.0,258,483 ,Ariège,4890,153067,31.30204498977505,1203,,,,27.7,18320.0
75056,Paris,85.0,30.0,61.0,56.0,46.0,4.0,22.0,38022,nd ,Paris,105,2190327,20860.257142857143,55,637.4,1661.6,12.4,22.1,28270.0
79202,Parthenay,164.0,,15.0,106.0,,,306.0,455,145 ,Deux-Sèvres,5999,374743,62.467577929654944,1849,,,,35.5,19110.0
64445,Pau,25.0,63.0,5.0,39.0,215.0,41.0,15.0,2683,2197 ,Pyrénées-Atlantiques,7645,673986,88.16036625245259,14,1069.9,1877.2,13.5,28.1,19930.0
24322,Périgueux,16.0,94.0,8.0,19.0,105.0,93.0,19.0,1008,3463 ,Dordogne,9060,414789,45.78245033112583,235,,,,29.7,19720.0
80620,Péronne,143.0,13.0,8.0,101.0,351.0,24.0,212.0,933,1124 ,Somme,6170,572744,92.82722852512155,1190,,,,31.6,17560.0
66136,Perpignan,35.0,165.0,18.0,45.0,90.0,90.0,65.0,1660,7043 ,Pyrénées-Orientales,4116,474369,115.25,58,,,,28.0,16630.0
45252,Pithiviers,155.0,,138.0,,301.0,,313.0,1408,254 ,Loiret,6775,674330,99.5321033210332,2395,628.9,,11.4,25.8,17330.0
86194,Poitiers,71.0,49.0,5.0,107.0,202.0,67.0,91.0,1685,352 ,Vienne,6990,436069,62.38469241773963,93,,,,20.1,19000.0
25462,Pontarlier,88.0,235.0,8.0,100.0,250.0,154.0,219.0,1082,344 ,Doubs,5234,538549,102.89434466946884,598,,,,25.1,23250.0
56178,Pontivy,199.0,169.0,4.0,116.0,100.0,169.0,195.0,1876,4 604 ,Morbihan,6823,747548,109.5629488494797,1402,968.4,,11.4,28.6,20510.0
95500,Pontoise,18.0,59.0,8.0,52.0,22.0,,158.0,4080,nd ,Val-d'Oise,1246,1221923,980.6765650080256,202,638.0,,,17.6,20840.0
66149,Prades,277.0,,11.0,83.0,246.0,,293.0,1660,7043 ,Pyrénées-Orientales,4116,474369,115.25,1534,,,,38.7,18090.0
07186,Privas,66.0,157.0,10.0,,216.0,15.0,240.0,612,4354 ,Ardèche,5529,325157,58.809368782781696,1254,815.7,2516.8,13.6,32.8,19940.0
77379,Provins,217.0,95.0,1.0,71.0,235.0,112.0,144.0,9653,1038 ,Seine-et-Marne,5915,1397665,236.2916314454776,897,,,,26.0,18070.0
29232,Quimper,13.0,78.0,55.0,90.0,90.0,104.0,101.0,1946,4445 ,Finistère,6733,908249,134.89514332392693,42,1250.2,1683.8,11.9,27.8,21220.0
78517,Rambouillet,26.0,83.0,8.0,147.0,166.0,2.0,55.0,2516,281 ,Yvelines,2284,1431808,626.8861646234676,277,,,,25.9,26660.0
35236,Redon,89.0,,16.0,114.0,230.0,,266.0,3053,1269 ,Ille-et-Vilaine,6775,1051779,155.24413284132842,249,,,,32.7,20810.0
51454,Reims,8.0,49.0,9.0,64.0,129.0,67.0,20.0,1666,103 ,Marne,8162,570883,69.9440088213673,118,628.2,,10.6,20.9,19060.0
35238,Rennes,54.0,200.0,4.0,75.0,20.0,37.0,23.0,3053,1269 ,Ille-et-Vilaine,6775,1051779,155.24413284132842,12,694.0,1717.1,12.1,19.0,21410.0
08362,Rethel,2.0,,6.0,,180.0,,222.0,285,171 ,Ardennes,5229,275371,52.66226812009945,2628,,,,30.0,18260.0
63300,Riom,13.0,100.0,19.0,143.0,133.0,42.0,74.0,1910,1045 ,Puy-de-Dôme,7970,650700,81.64366373902133,493,,,,26.4,22040.0
42187,Roanne,74.0,96.0,5.0,141.0,207.0,24.0,63.0,709,125 ,Loire,4781,761997,159.38025517674126,216,713.0,,11.0,32.3,18100.0
87126,Rochechouart,120.0,183.0,11.0,144.0,137.0,,249.0,706,211 ,Haute-Vienne,5520,374978,67.93079710144927,2379,,,,40.3,20780.0
17299,Rochefort,80.0,31.0,10.0,99.0,17.0,179.0,57.0,2321,7395 ,Charente-Maritime,6864,642191,93.55929487179488,22,776.0,,13.3,32.7,19110.0
12202,Rodez,123.0,49.0,11.0,92.0,156.0,6.0,56.0,722,1080 ,Aveyron,8735,278697,31.90578133943904,16,,,,27.7,20850.0
41194,Romorantin-Lanthenay,165.0,142.0,10.0,155.0,98.0,,223.0,981,884 ,Loir-et-Cher,6343,332769,52.46239949550686,629,,,,33.6,19820.0
76540,Rouen,,201.0,164.0,49.0,103.0,57.0,125.0,2499,655 ,Seine-Maritime,6278,1255755,200.02468939152595,89,805.2,1557.6,12.1,18.8,20340.0
18197,Saint-Amand-Montrond,154.0,39.0,4.0,53.0,213.0,,97.0,678,117 ,Cher,7235,307110,42.44782308223912,1439,,,,42.6,19030.0
22278,Saint-Brieuc,71.0,100.0,8.0,79.0,76.0,76.0,36.0,1168,2057 ,Côtes-d'Armor,6878,598953,87.0824367548706,12,,,,28.4,19690.0
39478,Saint-Claude,109.0,,40.0,,96.0,,278.0,508,1115 ,Jura,4999,260517,52.11382276455291,794,,,,33.1,18900.0
88413,Saint-Dié-des-Vosges,85.0,87.0,2.0,56.0,305.0,48.0,39.0,940,691 ,Vosges,5874,369641,62.92832822608104,261,,,,31.0,17630.0
52448,Saint-Dizier,145.0,104.0,12.0,40.0,217.0,90.0,139.0,301,214 ,Haute-Marne,6211,178084,28.67235549830945,838,,,,29.1,17480.0
42218,Saint-Étienne,58.0,161.0,5.0,51.0,146.0,14.0,24.0,709,125 ,Loire,4781,761997,159.38025517674126,20,,,,25.8,18330.0
15187,Saint-Flour,48.0,,8.0,78.0,,94.0,203.0,445,337 ,Cantal,5726,145969,25.49231575270695,439,722.0,,9.2,33.3,20110.0
31483,Saint-Gaudens,58.0,,11.0,158.0,138.0,,239.0,3129,293 ,Haute-Garonne,6309,1348183,213.69202726264064,717,,,,36.1,18790.0
78551,Saint-Germain-en-Laye,5.0,101.0,2.0,49.0,84.0,14.0,103.0,2516,281 ,Yvelines,2284,1431808,626.8861646234676,57,,,,22.7,31630.0
09261,Saint-Girons,170.0,83.0,97.0,,107.0,,255.0,258,483 ,Ariège,4890,153067,31.30204498977505,4029,991.7,,12.0,35.3,19340.0
17347,Saint-Jean-d'Angély,175.0,,17.0,,233.0,37.0,299.0,2321,7395 ,Charente-Maritime,6864,642191,93.55929487179488,1484,755.3,2250.0,12.7,41.8,18670.0
73248,Saint-Jean-de-Maurienne,84.0,,11.0,140.0,169.0,22.0,194.0,3499,806 ,Savoie,6028,429681,71.28085600530856,874,,,,35.2,21140.0
74243,Saint-Julien-en-Genevois,136.0,200.0,7.0,129.0,91.0,246.0,306.0,4887,1 545 ,Haute-Savoie,4388,801416,182.63810391978123,581,,,,16.3,31730.0
50502,Saint-Lô,122.0,76.0,6.0,99.0,169.0,,128.0,1277,1336 ,Manche,5938,498362,83.92758504546985,244,,,,29.6,19800.0
35288,Saint-Malo,35.0,204.0,3.0,107.0,248.0,19.0,72.0,3053,1269 ,Ille-et-Vilaine,6775,1051779,155.24413284132842,17,758.7,1666.6,,39.2,21930.0
44184,Saint-Nazaire,70.0,136.0,6.0,185.0,200.0,74.0,246.0,3307,2722 ,Loire-Atlantique,6881,1380852,200.676064525505,18,774.4,1892.6,12.4,29.2,20760.0
62765,Saint-Omer,103.0,245.0,7.0,95.0,226.0,69.0,187.0,2555,799 ,Pas-de-Calais,6671,1470725,220.4654474591516,893,1103.7,,10.1,20.6,16730.0
02691,Saint-Quentin,45.0,116.0,112.0,78.0,143.0,87.0,113.0,523,544 ,Aisne,7369,536136,72.75559777446058,132,702.6,1659.9,10.3,27.5,17350.0
51507,Sainte-Menehould,117.0,67.0,10.0,232.0,188.0,,210.0,1666,103 ,Marne,8162,570883,69.9440088213673,4542,857.0,1682.0,,,15507.0
17415,Saintes,53.0,224.0,17.0,139.0,207.0,54.0,200.0,2321,7395 ,Charente-Maritime,6864,642191,93.55929487179488,470,910.6,,13.0,36.4,20400.0
95585,Sarcelles,17.0,120.0,6.0,63.0,92.0,6.0,189.0,4080,nd ,Val-d'Oise,1246,1221923,980.6765650080256,146,,,,16.4,15650.0
24520,Sarlat-la-Canéda,153.0,259.0,9.0,71.0,207.0,145.0,231.0,1008,3463 ,Dordogne,9060,414789,45.78245033112583,595,,,,38.8,19990.0
57630,Sarrebourg,44.0,110.0,7.0,71.0,140.0,97.0,111.0,1795,284 ,Moselle,6216,1045271,168.15814028314028,502,,,,26.7,18730.0
57631,Sarreguemines,107.0,228.0,3.0,106.0,210.0,77.0,135.0,1795,284 ,Moselle,6216,1045271,168.15814028314028,256,,,,28.2,19060.0
2A272,Sartène,119.0,187.0,12.0,163.0,107.0,150.0,271.0,1 874,2154 ,Corse-du-Sud,4014,154303,38.4412057797708,658,,,,32.4,19760.0
49328,Saumur,44.0,,5.0,159.0,99.0,9.0,120.0,1348,711 ,Maine-et-Loire,7107,810934,114.10355987055016,182,,,,32.6,19970.0
67437,Saverne,141.0,233.0,,125.0,161.0,98.0,225.0,4437,509 ,Bas-Rhin,4755,1121407,235.8374342797056,304,,,,28.2,20540.0
08409,Sedan,,,6.0,122.0,,134.0,266.0,285,171 ,Ardennes,5229,275371,52.66226812009945,607,,,,29.8,16350.0
49331,Segré-en-Anjou Bleu,111.0,277.0,15.0,,190.0,,288.0,1348,711 ,Maine-et-Loire,7107,810934,114.10355987055016,3041,,,,26.6,20320.0
67462,Sélestat,39.0,161.0,4.0,91.0,209.0,21.0,77.0,4437,509 ,Bas-Rhin,4755,1121407,235.8374342797056,338,665.0,1692.7,,25.2,20980.0
60612,Senlis,62.0,168.0,8.0,118.0,101.0,32.0,269.0,1285,169 ,Oise,5860,823542,140.5361774744027,680,689.4,,,25.0,25800.0
89387,Sens,147.0,134.0,13.0,141.0,435.0,180.0,268.0,725,232 ,Yonne,7427,340544,45.8521610340649,682,657.7,,11.6,29.1,17700.0
02722,Soissons,5.0,305.0,3.0,121.0,281.0,78.0,117.0,523,544 ,Aisne,7369,536136,72.75559777446058,590,,,,28.1,17430.0
67482,Strasbourg,27.0,105.0,33.0,29.0,14.0,33.0,17.0,4437,509 ,Bas-Rhin,4755,1121407,235.8374342797056,13,,,,19.0,18790.0
65440,Tarbes,10.0,197.0,3.0,150.0,157.0,29.0,49.0,2789,895 ,Hautes-Pyrénées,4464,227829,51.0369623655914,111,,,,29.6,17880.0
68334,Thann,40.0,184.0,5.0,100.0,268.0,21.0,84.0,2975,759 ,Haut-Rhin,3525,762743,216.3809929078014,1913,,,,27.5,20770.0
63430,Thiers,92.0,267.0,7.0,52.0,221.0,,198.0,1910,1045 ,Puy-de-Dôme,7970,650700,81.64366373902133,257,672.0,,10.9,32.4,18310.0
57672,Thionville,106.0,114.0,6.0,74.0,109.0,29.0,45.0,1795,284 ,Moselle,6216,1045271,168.15814028314028,131,,,,25.6,23110.0
74281,Thonon-les-Bains,136.0,128.0,11.0,80.0,216.0,5.0,142.0,4887,1 545 ,Haute-Savoie,4388,801416,182.63810391978123,30,,,,27.4,23260.0
77468,Torcy,185.0,38.0,3.0,125.0,126.0,16.0,80.0,9653,1038 ,Seine-et-Marne,5915,1397665,236.2916314454776,213,,,,16.4,20360.0
54528,Toul,148.0,118.0,12.0,147.0,252.0,87.0,238.0,1037,100 ,Meurthe-et-Moselle,5246,733821,139.88200533739993,1035,,,,25.1,18230.0
83137,Toulon,160.0,55.0,3.0,134.0,137.0,26.0,196.0,3676,8196 ,Var,5973,1055821,176.76561192030806,14,,,,28.9,19750.0
31555,Toulouse,29.0,130.0,78.0,108.0,20.0,20.0,100.0,3129,293 ,Haute-Garonne,6309,1348183,213.69202726264064,29,,,,16.9,21190.0
07324,Tournon-sur-Rhône,179.0,99.0,2.0,127.0,137.0,37.0,116.0,612,4354 ,Ardèche,5529,325157,58.809368782781696,1280,,,12.1,29.7,20880.0
37261,Tours,14.0,187.0,3.0,50.0,151.0,29.0,14.0,1885,689 ,Indre-et-Loire,6127,606223,98.94287579565857,24,695.6,1833.3,11.8,23.5,19910.0
10387,Troyes,138.0,92.0,73.0,119.0,186.0,27.0,167.0,763,222 ,Aube,6004,308910,51.45069953364424,81,520.2,1816.4,10.4,23.3,17450.0
19272,Tulle,115.0,80.0,8.0,126.0,50.0,71.0,72.0,538,522 ,Corrèze,5857,241535,41.238688748506064,123,,,,31.4,20490.0
19275,Ussel,204.0,97.0,14.0,,207.0,,274.0,538,522 ,Corrèze,5857,241535,41.238688748506064,1006,,,,34.0,19970.0
54099,Val de Briey,110.0,94.0,5.0,189.0,242.0,100.0,236.0,1037,100 ,Meurthe-et-Moselle,5246,733821,139.88200533739993,1166,,,,27.0,21880.0
26362,Valence,55.0,60.0,5.0,15.0,19.0,74.0,5.0,1292,1731 ,Drôme,6530,508006,77.79571209800919,97,867.8,,12.7,25.8,19450.0
59606,Valenciennes,42.0,211.0,7.0,5.0,79.0,109.0,76.0,3868,317 ,Nord,5743,2603723,453.3733240466655,121,540.7,,,22.1,18970.0
56260,Vannes,49.0,124.0,6.0,179.0,114.0,21.0,69.0,1876,4 604 ,Morbihan,6823,747548,109.5629488494797,19,924.6,,12.7,32.3,22190.0
41269,Vendôme,42.0,152.0,13.0,103.0,154.0,97.0,128.0,981,884 ,Loir-et-Cher,6343,332769,52.46239949550686,712,659.3,,11.8,35.5,19700.0
55545,Verdun,161.0,2.0,4.0,82.0,159.0,114.0,122.0,240,89 ,Meuse,6211,189055,30.438737723393977,368,905.1,,10.8,29.2,19180.0
78646,Versailles,346.0,105.0,6.0,63.0,88.0,4.0,96.0,2516,281 ,Yvelines,2284,1431808,626.8861646234676,49,657.3,,11.0,22.9,32140.0
02789,Vervins,174.0,70.0,110.0,25.0,230.0,,224.0,523,544 ,Aisne,7369,536136,72.75559777446058,8724,907.6,,10.1,26.4,17790.0
70550,Vesoul,129.0,197.0,7.0,121.0,145.0,105.0,191.0,142,139 ,Haute-Saône,5360,237242,44.26156716417911,285,1049.1,1776.0,10.4,29.4,18390.0
03310,Vichy,58.0,152.0,84.0,53.0,209.0,60.0,147.0,860,313 ,Allier,7340,339384,46.237602179836514,177,,,,42.0,19130.0
38544,Vienne,127.0,207.0,1.0,101.0,94.0,124.0,89.0,2467,998 ,Isère,7431,1252912,168.60610954111155,417,973.5,,11.85,25.3,20270.0
18279,Vierzon,143.0,38.0,12.0,89.0,106.0,,125.0,678,117 ,Cher,7235,307110,42.44782308223912,403,795.9,,12.0,34.6,18190.0
12300,Villefranche-de-Rouergue,100.0,43.0,24.0,5.0,183.0,,113.0,722,1080 ,Aveyron,8735,278697,31.90578133943904,657,,,,39.5,19690.0
69264,Villefranche-sur-Saône,58.0,191.0,3.0,132.0,2.0,77.0,70.0,5831,230 ,Rhône,217527,27657040,127.14302132608826,530,751.0,,11.5,23.5,18340.0
47323,Villeneuve-sur-Lot,95.0,318.0,4.0,176.0,50.0,,206.0,394,365 ,Lot-et-Garonne,5361,332833,62.08412609587764,472,,,,36.7,18420.0
14762,Vire Normandie,122.0,,9.0,194.0,193.0,,282.0,3 556,2163 ,Calvados,5548,693679,125.03226387887528,920,,,,34.7,20430.0
51649,Vitry-le-François,54.0,123.0,13.0,203.0,130.0,,187.0,1666,103 ,Marne,8162,570883,69.9440088213673,1761,857.0,1682.0,,30.6,16650.0
08490,Vouziers,98.0,,6.0,,,,302.0,285,171 ,Ardennes,5229,275371,52.66226812009945,10470,,,,35.9,19440.0
43268,Yssingeaux,143.0,,5.0,142.0,138.0,,229.0,324,234 ,Haute-Loire,4977,227339,45.67791842475387,2145,943.8,,9.3,28.8,21340.0
92002,,,,,,,,,,,,,,,,,,,23.0,30260.0
97105,,,,,,,,,,,,,,,,,,,27.2,
93008,,,,,,,,,,,,,,,,,,,15.1,15220.0
92012,,,,,,,,,,,,,,,,,,,21.3,33590.0
97302,,,,,,,,,,,,,,,,,,,12.3,
94028,,,,,,,,,,,,,,,,,,,18.2,19930.0
97209,,,,,,,,,,,,,,,,2020.5,2437.0,26.1,27.5,18010.0
94038,,,,,,,,,,,,,,,,,,,22.9,23280.0
97230,,,,,,,,,,,,,,,,,,,27.3,17980.0
97217,,,,,,,,,,,,,,,,,,,27.3,16520.0
93062,,,,,,,,,,,,,,,,,,,21.2,27560.0
97611,,,,,,,,,,,,,,,,,,,,
92050,,,,,,,,,,,,,,,,,,,15.9,20430.0
94052,,,,,,,,,,,,,,,,,,,23.1,31690.0
97120,,,,,,,,,,,,,,,,1616.6,2395.7,26.6,24.0,
97410,,,,,,,,,,,,,,,,,,,16.3,13550.0
97411,,,,,,,,,,,,,,,,1658.6,2572.2,24.3,18.0,17020.0
93066,,,,,,,,,,,,,,,,,,,14.0,15270.0
97311,,,,,,,,,,,,,,,,,,,4.6,
97415,,,,,,,,,,,,,,,,,,,17.7,17130.0
97416,,,,,,,,,,,,,,,,940.0,,23.3,16.6,15690.0
97225,,,,,,,,,,,,,,,,,,,30.7,14210.0
